instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q79475802,Lamellophone (chisanji),http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20or%20Angola%2C%20Chokwe%20peoples%2C%20-%20Thumb%20Piano%20-%201915.495%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q79485139,Sitar,http://commons.wikimedia.org/wiki/Special:FilePath/India%2C%20British%20Period%20-%20Vina%20-%201918.346%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q79485152,Tsuzumi Drum,http://commons.wikimedia.org/wiki/Special:FilePath/Japan%2C%20Edo%20%281615-1868%29%20-%20Meiji%20%281868-1912%29%20periods%20-%20Tsuzumi%20Drum%20-%201918.349%20-%20Cleveland%20Museum%20of%20Art.jpg
http://www.wikidata.org/entity/Q79485254,Lute or Tiorbino,http://commons.wikimedia.org/wiki/Special:FilePath/Italy%2C%20probably%20made%20in%20the%20mid-17th%20century%2C%20but%20modified%20by%20later%20repair%20-%20Lute%20or%20Tiorbino%20-%201918.368%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q10864032,hitoyogiri,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%B8%80%E7%AF%80%E5%88%87.jpg
http://www.wikidata.org/entity/Q11434792,cromorne,http://commons.wikimedia.org/wiki/Special:FilePath/Cromorne%20Borjon%201672.png
http://www.wikidata.org/entity/Q12272796,ayumaa,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%8E%D0%BC%D0%B0%D0%B0.jpg
http://www.wikidata.org/entity/Q12634515,kithara,http://commons.wikimedia.org/wiki/Special:FilePath/Britannica%20Cithara%20Phorminx.jpg
http://www.wikidata.org/entity/Q13522655,three-hole pipe,http://commons.wikimedia.org/wiki/Special:FilePath/Flautade3cerca.JPG
http://www.wikidata.org/entity/Q13744339,knaptand,http://commons.wikimedia.org/wiki/Special:FilePath/2%20knaptanden.JPG
http://www.wikidata.org/entity/Q16632086,musical anvil,http://commons.wikimedia.org/wiki/Special:FilePath/Enclumes%20Ionisation.JPG
http://www.wikidata.org/entity/Q16661393,Lutar,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE%20TROPENMUSEUM%20Langhalsluit%20met%20twee%20snaren%20TMnr%203423-1.jpg
http://www.wikidata.org/entity/Q18456301,Practice pad,http://commons.wikimedia.org/wiki/Special:FilePath/Practice%20pad%20-%20Vladimir%20Morozov.jpg
http://www.wikidata.org/entity/Q21071111,Therevox,http://commons.wikimedia.org/wiki/Special:FilePath/Therevox.jpg
http://www.wikidata.org/entity/Q24950289,Darkhuang,http://commons.wikimedia.org/wiki/Special:FilePath/Zamluang.jpg
http://www.wikidata.org/entity/Q36973404,batyphone,http://commons.wikimedia.org/wiki/Special:FilePath/Batyphon%20-%20issu%20de%20Larousse%201898.png
http://www.wikidata.org/entity/Q46996061,contrabass trombone,http://commons.wikimedia.org/wiki/Special:FilePath/Wessex%20contrabass%20trombone%20in%20F.jpg
